category,country,free/paid/grossing,rank,bundle id,icon,app name,publisher
Beauty,Austria,free,36,/app/google-play/com.nerovero.beautycalculator/statistics/,"https://play-lh.googleusercontent.com/VHB-ZVkjHOLc8u1sfaRy10QLTxQfZrL4MJtPtY4OrRsZgg5dV58GnHapYTq6LlBhtAA=s180",Beauty Calculator Pretty Scale,Firehawk
Beauty,Austria,free,37,/app/google-play/photoeditor.haircolorideas.haircolorchanger.hairstyles/statistics/,"https://play-lh.googleusercontent.com/4T1uDhreKI_VarCowatrU3x0XDCfgNm8YD3IrwGgEaqYOZ5BSLzZfi1PDSvIi-FI6vc=s180",Photo editor: Hair Color Ideas,LocG3
Beauty,Austria,free,38,/app/google-play/com.zhanlang.changehaircut/statistics/,"https://play-lh.googleusercontent.com/WB1CcN2bnh1DyoufYIm1LiJ1TCbz59JMb3-26ysE2fu07CayuFT4WhE7MqEFKvRT3Rk=s180",Hair try-on - hair styling,SmallUniverse Apps
Beauty,Austria,free,39,/app/google-play/photo.hd.video.beauty.camera/statistics/,"https://play-lh.googleusercontent.com/7sgnWEeqwMidXC6ICAvcflCfqnxQdXxfO4_tgzWfbAVIDl4G3F0VLXfsh0Ak25CawFs=s180",HD Camera for Android: 4K Cam,Easyelife
Beauty,Austria,free,40,/app/google-play/net.booksy.business/statistics/,"https://play-lh.googleusercontent.com/q7GL_Uvh-WaAV8ROGgDp9iXToIc4MhRwn5KqCbWXo5zLQrqic_bao_rncvtpuH4iaPjW=s180",Booksy Biz: For Businesses,Booksy International sp. z o.o.
Beauty,Austria,free,41,/app/google-play/com.chamsDohaLtd.Tools.Zakhrafa/statistics/,"https://play-lh.googleusercontent.com/23Qw7pRYlhM-GMVruGMg_N2hBgcUTKw8k9PehnQi1hef7wbJyfr2qd79Un-si6UamW8W=s180",زخرفة الكتابة بكل انواع الخطوط,Chama innovation
Beauty,Austria,free,42,/app/google-play/sweet.beauty.cam.toanhmsg/statistics/,"https://play-lh.googleusercontent.com/SRtCn9nczpeMH8SeLnSpzvvYUTHConG1Kfh7cQLpw6QbTKRsfTC8avQ0WWKXMcXch_Ae=s180",Sweet Beauty Camera,TOAN HMSG
Beauty,Austria,free,43,/app/google-play/truefunapps.longhair/statistics/,"https://play-lh.googleusercontent.com/gvolu4MRtul5Z7pN4M48bqrMD2SxfUSVJ-BrY2J1Z0mRmlDXJfm4xRBHmz9L9DbttcQ=s180",Easy hairstyles step by step,True Fun Apps
Beauty,Austria,free,44,/app/google-play/jp.hotpepper.android.beauty.hair/statistics/,"https://play-lh.googleusercontent.com/xps3gneCq0NxxzfhiA2oVfwKH5Fu0dZZoj9elKlORcPyKJAyWlIyhbEOScqZWdRyZg=s180",ヘア&ビューティーサロン検索/ホットペッパービューティー,Recruit Co.,Ltd.
Beauty,Austria,free,45,/app/google-play/sweet.camera.selfie/statistics/,"https://play-lh.googleusercontent.com/XisCMc_yQG8DXP-FsBTBjTWuIphEB77iU3_V2uv5qkfsD9sSkqr5Y2pvhVMlFbIYNpc_=s180",Sweet Camera Selfie,Camera Selfie Studio
Beauty,Austria,free,46,/app/google-play/com.learnguru.mehandi_design_offline/statistics/,"https://play-lh.googleusercontent.com/P5ZHd36BOjhgngPk7ksdOkgKwBQGs1VQyABSHovPVf6_440FNdx3JeR8pJY3oZZ2pVA=s180",Mehandi Design Offline,LernGuru
Beauty,Austria,free,47,/app/google-play/com.gangnam.sister/statistics/,"https://play-lh.googleusercontent.com/ZQUodHtGHoPbadeChBVYuwc4KWiAyjYonDoCR-3jE4xqd_HJHNfsyHVPmNboBfF7eRg=s180",UNNI - Korean Beauty, Now,강남언니
Beauty,Austria,free,48,/app/google-play/kr.co.company.hwahae/statistics/,"https://play-lh.googleusercontent.com/YQCgCqxZTR6ZA3wGLQvyxBkd5e1TYm-O_HGM0m-QMR6_FYQeCQQNGvZYMqrrU9TQbErF=s180",Hwahae - analyzing cosmetics,BirdView
Beauty,Austria,free,49,/app/google-play/creative.henna.art.unique.mehndi.art.stylish.traditional/statistics/,"https://play-lh.googleusercontent.com/4HR6wB2uurhzArdx5fe9DgLDx0nn7WoIIJPeYFCIwWfBALSDlROiQ8Aw6lzXkph9vg=s180",Bridal Mehndi Design 2024,Unique Tools Studio
Beauty,Austria,free,50,/app/google-play/com.studio360apps.mirror/statistics/,"https://play-lh.googleusercontent.com/lFpEvp1efcv6CfN2L6H18iX_E82fNc35WLCc9Om8z0j17z0pFeEyf4_etN0iH-K-8Asy=s180",Mirror,Studio 360 Apps
